link,page
https://boliviaverifica.bo/falso-no-hay-vacunas-contra-la-covid-19-disponibles-en-el-plan-3-000/,4
https://boliviaverifica.bo/tratamientos-para-la-covid-19-alivian-a-unos-y-pueden-ser-peligrosos-para-otros/,4
https://boliviaverifica.bo/remdesivir-uno-de-los-farmacos-mas-usados-y-caros-para-combatir-el-coronavirus/,4
https://boliviaverifica.bo/por-que-el-gobierno-reporto-mas-vacunados-de-los-previstos-para-la-primera-fase/,4
https://boliviaverifica.bo/circula-una-cadena-con-falsedades-sobre-la-ley-de-emergencia-sanitaria-que-dice-realmente-la-norma/,4
https://boliviaverifica.bo/usan-imagenes-pasadas-y-de-otro-pais-para-indicar-que-luis-larrea-esta-matando-enfermos/,4
https://boliviaverifica.bo/es-falso-que-el-inventor-de-los-test-pcr-dijo-que-no-servian-para-detectar-un-virus/,4
https://boliviaverifica.bo/es-falso-que-se-suspendio-la-vacunacion-en-una-ciudad-de-argentina/,4
https://boliviaverifica.bo/el-camino-boliviano-hacia-la-inmunizacion-cantidad-de-vacunas-laboratorios-y-fechas-de-llegada/,4
https://boliviaverifica.bo/usan-linea-grafica-de-los-tiempos-para-criticar-gestion-de-luis-arce/,4
